date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-04-01 00:00:00,37,23,0.0,11.6,8,42,10:39 AM,12:10 AM,06:37 AM,07:04 PM,7,25,25,24,15,32,32,0.0,1007,24,10,236,7,jaisalmer
2009-04-01 06:00:00,37,23,0.0,11.6,8,42,10:39 AM,12:10 AM,06:37 AM,07:04 PM,7,26,26,27,15,7,27,0.0,1009,27,10,240,9,jaisalmer
2009-04-01 12:00:00,37,23,0.0,11.6,8,42,10:39 AM,12:10 AM,06:37 AM,07:04 PM,5,36,36,37,22,6,14,0.0,1007,37,10,267,19,jaisalmer
2009-04-01 18:00:00,37,23,0.0,11.6,8,42,10:39 AM,12:10 AM,06:37 AM,07:04 PM,5,27,27,29,10,13,21,0.0,1007,29,10,264,5,jaisalmer
2009-04-02 00:00:00,37,26,0.0,11.6,8,50,11:44 AM,01:11 AM,06:36 AM,07:04 PM,5,25,25,27,26,20,24,0.0,1006,27,10,214,13,jaisalmer
2009-04-02 06:00:00,37,26,0.0,11.6,8,50,11:44 AM,01:11 AM,06:36 AM,07:04 PM,8,26,26,27,26,3,29,0.0,1008,27,10,244,19,jaisalmer
2009-04-02 12:00:00,37,26,0.0,11.6,8,50,11:44 AM,01:11 AM,06:36 AM,07:04 PM,9,35,35,37,23,11,19,0.0,1006,37,10,245,20,jaisalmer
2009-04-02 18:00:00,37,26,0.0,11.6,8,50,11:44 AM,01:11 AM,06:36 AM,07:04 PM,6,28,28,30,23,2,23,0.0,1005,30,10,256,11,jaisalmer
2009-04-03 00:00:00,35,23,0.0,11.6,8,58,12:50 PM,02:06 AM,06:35 AM,07:05 PM,1,24,24,25,29,4,21,0.0,1007,25,10,236,14,jaisalmer
2009-04-03 06:00:00,35,23,0.0,11.6,8,58,12:50 PM,02:06 AM,06:35 AM,07:05 PM,3,24,24,24,18,8,26,0.0,1009,24,10,249,12,jaisalmer
2009-04-03 12:00:00,35,23,0.0,11.6,8,58,12:50 PM,02:06 AM,06:35 AM,07:05 PM,-2,34,34,35,7,22,9,0.0,1008,35,10,300,6,jaisalmer
2009-04-03 18:00:00,35,23,0.0,11.6,8,58,12:50 PM,02:06 AM,06:35 AM,07:05 PM,-2,24,24,26,11,0,16,0.0,1008,26,10,347,5,jaisalmer
2009-04-04 00:00:00,35,21,0.0,11.6,8,65,01:57 PM,02:53 AM,06:34 AM,07:05 PM,-2,22,22,22,14,5,20,0.0,1009,22,10,358,6,jaisalmer
